TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic controls in sight. The weather was clear, and even though it was dark out, the road was well-lit. The pavement was dry, and I was sticking to the posted speed limit of 30 miles per hour. The road was not divided, so I had to be extra cautious of oncoming traffic. It was a calm night, and I was enjoying the peaceful drive under the starlit sky."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,20,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",INCAPACITATING INJURY,1,"I was cruising down the road when I noticed that there were no traffic controls in sight. The weather was clear, the sun shining bright in the sky as it was daytime. The road ahead was straight and level, making for a smooth drive. The pavement was dry under my wheels, providing good traction. The speed limit was set at 20 miles per hour, keeping things slow and steady. I was driving on a divided highway with a median in the middle, giving me my own space on the road. The conditions were just right for a leisurely journey, with no obstacles in my way."
NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",STRAIGHT ON GRADE,UNKNOWN,20,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a one-way street with no traffic controls at around 9 pm. Despite the darkness, the road was well lit, making it easier to navigate. The street was straight and on a slight incline. I wasn't sure about the weather conditions as it was unknown, but the roadway surface condition seemed normal. The posted speed limit was only 20 mph, so I was cruising along at a moderate pace. The lack of other vehicles around made the drive pretty smooth and uneventful."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I cruised down the straight and level road with a 30 mph speed limit, the daylight piercing through the rain clouds, lighting up the wet pavement ahead of me. I approached the traffic signal, patiently waiting for it to turn green. The roadway was divided with a median running in between, keeping the traffic flow organized. Despite the wet surface, I felt confident in my driving skills, making sure to stay alert for any sudden movements from other vehicles around me. It was just a matter of time before I could proceed on my journey, enjoying the peaceful after-rain ambiance surrounding me."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road with no traffic controls in place. The weather wasn't on my side that day, as rain poured down, making the roadway surface wet and a bit slippery. It was still daylight, so visibility was decent despite the gloomy weather. The posted speed limit was 30, so I was keeping a watchful eye on my speedometer. The road wasn't divided, so I had to be cautious of oncoming traffic. The surroundings seemed peaceful, with greenery on either side of the road. I was paying close attention to the road ahead, making sure to stay focused on my driving as I navigated through the damp conditions."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"So there I was, cruising down the road at around 10 pm in the pouring rain. The traffic signal at the four-way intersection ahead was my next stop. Despite the dark conditions, the road was well lit, so I could see clearly. The wet surface had me a bit on edge, though. I made sure to keep it slow and steady since the posted speed limit was just 30. The road ahead looked straight and level, the perfect conditions for a smooth drive. With the rain creating a soothing ambiance around me, I navigated the intersection cautiously, anticipating what lay ahead."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic control devices in sight. It was dark out, but luckily the road was well-lit, so I could see clearly. The weather was clear, making for a pleasant evening drive. The road surface was dry, which gave me a good grip as I maintained the 30 mph speed limit. Since the roadway was not divided, I kept my focus on staying in my lane and watching out for any oncoming vehicles."
TRAFFIC SIGNAL,FOG/SMOKE/HAZE,DARKNESS,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"So, picture this - I was driving on a straight and level road at 30 mph, approaching a four-way intersection where a traffic signal was the main control device. It was pretty dark out, with fog, smoke, or haze making visibility a bit challenging. The road surface was dry, which was a relief. I approached the intersection cautiously, making sure to be extra vigilant due to the poor lighting conditions and reduced visibility from the fog/smoke/haze. It was one of those moments where you had to rely heavily on your instincts and driving skills to navigate the road safely. The combination of factors made me extra cautious as I made my way through the intersection, keeping a keen eye out for any potential obstacles or hazards. The eerie atmosphere created by the darkness and fog/smoke/haze added an element of suspense to the journey, keeping me on high alert. My focus was solely on safely reaching my destination, making sure to adhere to the rules of the road despite the challenging conditions."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,20,OTHER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a clear day, with the sun shining brightly overhead. The traffic control device indicated no controls, so I kept my eyes peeled for any potential hazards. The alignment was straight and level, making for a smooth ride. However, I couldn't help but notice that the roadway surface was wet, which added a hint of unpredictability to the drive. The posted speed limit was a mere 20 miles per hour, so I made sure to keep my speed in check. The trafficway type was labeled as 'other,' but I wasn't too concerned as I navigated my way through the route. Despite the wet conditions, I felt confident in my ability to handle whatever the road had in store for me. Little did I know, the series of events that would unfold just around the corner."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,15,ONE-WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I cruised down the one-way street, there were no stop signs or signals in sight, so I had to keep my eyes peeled for any potential obstacles. The rain was coming down steadily, making the road glisten under the daylight. The street itself was straight and level, with the wet pavement reflecting the sunlight, creating a somewhat slick surface. The posted speed limit of 15 mph felt appropriate given the conditions, so I made sure to maintain a cautious speed. Despite the rain, my visibility was decent, allowing me to see any oncoming vehicles or pedestrians clearly. The road appeared free of any major potholes or hazards, offering a relatively smooth ride. It felt like a typical day on the road, with the soothing sound of rain adding a calming effect to my journey."
